Name,Cation,Anion,Alkyl Chain,Functional Group,Heat Capacity (J/mol·K),Density (kg/m³),Toxicity (IC50 in mM),Solubility (g/L),Hydrophobicity (logP),Viscosity (Pa·s),Pareto Score,In ILThermo
1-ethyl-3-methylimidazolium tetrafluoroborate,Imidazolium,Tetrafluoroborate,Ethyl,,516.808952,1540.364418,20.98180421,2.9153795,1.7511,0.038559238,0.526979107,Yes
1-ethyl-3-methylimidazolium bis(trifluoromethanesulfonyl)imide,Imidazolium,Bis(trifluoromethanesulfonyl)imide,Ethyl,,750.9034744,1205.202414,6.231562486,2.159766254,1.5104,0.303838888,0.597353492,Yes
"1,3-dimethylimidazolium tetrafluoroborate",Imidazolium,Tetrafluoroborate,Methyl,,502.1127578,1673.396206,23.82708973,2.585709659,1.361,0.03457419,0.510130245,Yes
1-(2-hydroxymethyl)-3-methylimidazolium tetrafluoroborate,Imidazolium,Tetrafluoroborate,Methyl,Hydroxyl,546.1639913,1605.146978,23.82708973,2.585709659,0.5363,0.047736213,0.516250077,Yes
1-(3-aminomethyl)-3-methylimidazolium tetrafluoroborate,Imidazolium,Tetrafluoroborate,Methyl,Amino,552.6189617,1589.904196,23.82708973,2.585709659,1.523,0.073291175,0.524906393,Yes
1-(2-hydroxyethyl)-3-methylimidazolium tetrafluoroborate,Imidazolium,Tetrafluoroborate,Ethyl,Hydroxyl,560.8601856,1496.388495,20.98180421,2.9153795,0.9264,0.053238325,0.531339751,Yes
1-(3-aminoethyl)-3-methylimidazolium tetrafluoroborate,Imidazolium,Tetrafluoroborate,Ethyl,Amino,567.3151559,1483.559069,20.98180421,2.9153795,1.9131,0.081738772,0.539820695,Yes
"1,3-dimethylimidazolium bis(trifluoromethanesulfonyl)imide",Imidazolium,Bis(trifluoromethanesulfonyl)imide,Methyl,,736.2072802,1230.872894,7.076607759,1.915540829,1.1203,0.27243753,0.589958802,No
"N,N,N-trimethyl-N-(3-aminomethyl)ammonium tetrafluoroborate",Ammonium,Tetrafluoroborate,Methyl,Amino,479.418372,1409.922426,33.65708763,2.339646852,2.4743,0.057011605,0.525001989,No
1-(3-aminoethyl)-3-methylimidazolium bis(trifluoromethanesulfonyl)imide,Imidazolium,Bis(trifluoromethanesulfonyl)imide,Ethyl,Amino,801.4096783,1198.074235,6.231562486,2.159766254,1.6724,0.644084761,0.606545774,No
"N,N,N-trimethyl-N-methylammonium bis(trifluoromethanesulfonyl)imide",Ammonium,Bis(trifluoromethanesulfonyl)imide,Methyl,,663.0066905,1140.300541,9.996101505,1.733253018,2.0716,0.211923205,0.589343994,No
1-(2-hydroxymethyl)-3-methylimidazolium bis(trifluoromethanesulfonyl)imide,Imidazolium,Bis(trifluoromethanesulfonyl)imide,Methyl,Hydroxyl,780.2585137,1227.176165,7.076607759,1.915540829,0.2956,0.376151566,0.591385825,No
"N,N,N-trimethyl-N-methylammonium tetrafluoroborate",Ammonium,Tetrafluoroborate,Methyl,,428.9121681,1478.835203,33.65708763,2.339646852,2.3123,0.026894508,0.511280874,No
"N,N,N-trimethyl-N-(2-hydroxymethyl)ammonium bis(trifluoromethanesulfonyl)imide",Ammonium,Bis(trifluoromethanesulfonyl)imide,Methyl,Hydroxyl,707.057924,1141.191649,9.996101505,1.733253018,1.2469,0.292600089,0.590442404,No
"N,N,N-trimethyl-N-(3-aminomethyl)ammonium bis(trifluoromethanesulfonyl)imide",Ammonium,Bis(trifluoromethanesulfonyl)imide,Methyl,Amino,713.5128944,1135.816333,9.996101505,1.733253018,2.2336,0.449239752,0.598361839,No
"N,N,N-trimethyl-N-(2-hydroxymethyl)ammonium tetrafluoroborate",Ammonium,Tetrafluoroborate,Methyl,Hydroxyl,472.9634016,1427.407885,33.65708763,2.339646852,1.4876,0.037132957,0.516182214,No
1-(3-aminomethyl)-3-methylimidazolium bis(trifluoromethanesulfonyl)imide,Imidazolium,Bis(trifluoromethanesulfonyl)imide,Methyl,Amino,786.7134841,1222.011137,7.076607759,1.915540829,1.2823,0.577519428,0.599282567,No
"N,N,N-trimethyl-N-(2-hydroxyethyl)ammonium tetrafluoroborate",Ammonium,Tetrafluoroborate,Ethyl,Hydroxyl,487.6595959,1327.073928,29.6379638,2.637944459,1.8777,0.041412931,0.53163882,No
"N,N,N-trimethyl-N-(3-aminoethyl)ammonium tetrafluoroborate",Ammonium,Tetrafluoroborate,Ethyl,Amino,494.1145663,1312.735807,29.6379638,2.637944459,2.8644,0.063582806,0.540230145,No
"N,N,N-trimethyl-N-ethylammonium tetrafluoroborate",Ammonium,Tetrafluoroborate,Ethyl,,443.6083623,1353.611266,29.6379638,2.637944459,2.7024,0.029994389,0.528541299,No
"N,N,N-trimethyl-N-(3-aminoethyl)ammonium bis(trifluoromethanesulfonyl)imide",Ammonium,Bis(trifluoromethanesulfonyl)imide,Ethyl,Amino,728.2090887,1115.299022,8.802428121,1.954237321,2.6237,0.501019471,0.605669477,No
"N,N,N-trimethyl-N-(2-hydroxyethyl)ammonium bis(trifluoromethanesulfonyl)imide",Ammonium,Bis(trifluoromethanesulfonyl)imide,Ethyl,Hydroxyl,721.7541183,1120.328403,8.802428121,1.954237321,1.637,0.3263254,0.597778119,No
"N,N,N-trimethyl-N-ethylammonium bis(trifluoromethanesulfonyl)imide",Ammonium,Bis(trifluoromethanesulfonyl)imide,Ethyl,,677.7028848,1118.384348,8.802428121,1.954237321,2.4617,0.236349636,0.59675756,No
1-(2-hydroxyethyl)-3-methylimidazolium bis(trifluoromethanesulfonyl)imide,Imidazolium,Bis(trifluoromethanesulfonyl)imide,Ethyl,Hydroxyl,794.954708,1202.920874,6.231562486,2.159766254,0.6857,0.419507084,0.598675972,No
