Name,Cation,Anion,Alkyl Chain,Functional Group,Heat Capacity (J/mol·K),Density (kg/m³),Toxicity (IC50 in mM),Solubility (g/L),Hydrophobicity (logP),Viscosity (Pa·s),Pareto Score,In ILThermo
carbonyl-1-ethyl-3-methylimidazolium chloride,Imidazolium,Chloride,Ethyl,Carbonyl,515.6084159,1626.576105,14.57762095,2.159766254,-2.7298,0.028924477,0.506191166,No
carbonyl-1-ethyl-3-methylimidazolium chloride,Methylimidazolium,Chloride,Ethyl,Carbonyl,623.2498189,1772.51613,46.375952,2.50929039,-2.3155,0.024944057,0.506191166,No
carbonyl-1-ethyl-3-methylimidazolium chloride,Ethylimidazolium,Chloride,Ethyl,Carbonyl,637.3513719,1760.512386,46.375952,2.829217014,-1.8326,0.026709087,0.506191166,No
carbonyl-1-butyl-3-methylimidazolium chloride,Imidazolium,Chloride,Butyl,Carbonyl,539.7360205,1411.141171,14.1168897,2.745601015,-1.9496,0.034221863,0.505335463,No
carbonyl-1-hexyl-3-methylimidazolium chloride,Imidazolium,Chloride,Hexyl,Carbonyl,563.0342385,1279.871493,11.93103603,1.648721271,-1.1694,0.038514747,0.505201123,No
"carbonyl-1,3-dimethylimidazolium chloride",Imidazolium,Chloride,Methyl,Carbonyl,507.7621299,1811.030915,15.56747525,1.915540829,-3.1199,0.02593517,0.504298635,No
"carbonyl-1,3-dimethylimidazolium chloride",Methylimidazolium,Chloride,Methyl,Carbonyl,615.4035329,1968.096237,49.52498681,2.225540928,-2.7056,0.02236612,0.504298635,No
"carbonyl-1,3-dimethylimidazolium chloride",Ethylimidazolium,Chloride,Methyl,Carbonyl,629.5050859,1936.802668,49.52498681,2.50929039,-2.2227,0.023948737,0.504298635,No
carbonyl-1-octyl-3-methylimidazolium chloride,Imidazolium,Chloride,Octyl,Carbonyl,586.3241535,1193.910294,10.08363909,1.648721271,-0.3892,0.043346142,0.50393237,No
carbonyl-1-propyl-3-methylimidazolium chloride,Imidazolium,Chloride,Propyl,Carbonyl,528.0952145,1506.800714,16.70320786,2.435129651,-2.3397,0.032258335,0.50282652,No
1-hexyl-3-methylimidazolium chloride,Imidazolium,Chloride,Hexyl,,503.080005,1359.738212,11.93103603,1.648721271,-0.9845,0.025758853,0.502603639,No
1-(2-hydroxyhexyl)-3-methylimidazolium chloride,Imidazolium,Chloride,Hexyl,Hydroxyl,595.7493852,1409.057116,15.45382111,1.648721271,-1.8092,0.035564972,0.502560972,No
1-(2-hydroxyhexyl)-3-methylimidazolium chloride,Methylimidazolium,Chloride,Hexyl,Hydroxyl,703.3907882,1523.298608,24.58659281,1.915540829,-1.3949,0.030670724,0.502560972,No
1-(2-hydroxyoctyl)-3-methylimidazolium chloride,Imidazolium,Chloride,Octyl,Hydroxyl,619.0393002,1285.969252,13.33681285,1.648721271,-1.029,0.040026339,0.502286375,No
1-(2-hydroxyoctyl)-3-methylimidazolium chloride,Methylimidazolium,Chloride,Octyl,Hydroxyl,726.6807032,1384.401547,22.31255922,1.915540829,-0.6147,0.034518143,0.502286375,No
1-(2-hydroxyoctyl)-3-methylimidazolium chloride,Ethylimidazolium,Chloride,Octyl,Hydroxyl,740.7822562,1394.258646,22.31255922,2.159766254,-0.1318,0.036960632,0.502286375,No
1-octyl-3-methylimidazolium chloride,Imidazolium,Chloride,Octyl,,526.36992,1241.689678,10.08363909,1.648721271,-0.2043,0.028990114,0.501883441,No
carbonyl-1-decyl-3-methylimidazolium chloride,Imidazolium,Chloride,Decyl,Carbonyl,609.6140685,1133.275262,8.522292364,1.648721271,0.391,0.048783601,0.501849252,No
1-butyl-3-methylimidazolium chloride,Imidazolium,Chloride,Butyl,,479.781787,1559.341404,14.1168897,2.745601015,-1.7647,0.022887751,0.501569837,Yes
carbonyl-1-hexyl-3-methylimidazolium bromide,Imidazolium,Bromide,Hexyl,Carbonyl,603.8260035,1498.269689,11.93103603,1.648721271,-1.1694,0.04798021,0.501467505,No
1-(3-aminohexyl)-3-methylimidazolium chloride,Imidazolium,Chloride,Hexyl,Amino,616.4537574,1391.598346,11.7070759,1.648721271,-0.8225,0.054604218,0.501276688,No
1-(2-hydroxybutyl)-3-methylimidazolium chloride,Imidazolium,Chloride,Butyl,Hydroxyl,572.4511672,1611.67301,17.90687098,2.745601015,-2.5894,0.031600872,0.501119428,No
1-(2-hydroxybutyl)-3-methylimidazolium chloride,Methylimidazolium,Chloride,Butyl,Hydroxyl,680.0925702,1745.411659,27.09238954,3.189933276,-2.1751,0.027252141,0.501119428,No
1-(2-hydroxybutyl)-3-methylimidazolium chloride,Ethylimidazolium,Chloride,Butyl,Hydroxyl,694.1941232,1736.266928,27.09238954,3.596639726,-1.6922,0.02918049,0.501119428,No
1-(2-hydroxybutyl)-3-methylimidazolium chloride,1-Butyl-3-methylimidazolium,Chloride,Butyl,Hydroxyl,701.8464302,1714.893272,27.09238954,3.189933276,-0.60358,0.036328301,0.501119428,No
1-(2-hydroxybutyl)-3-methylimidazolium chloride,1-Octyl-3-methylimidazolium,Chloride,Butyl,Hydroxyl,758.2425912,1695.664287,27.09238954,3.189933276,0.95682,0.046014202,0.501119428,No
1-(2-hydroxydecyl)-3-methylimidazolium chloride,Imidazolium,Chloride,Decyl,Hydroxyl,642.3292152,1203.291381,11.50981209,1.648721271,-0.2488,0.045047352,0.500934294,No
1-(2-hydroxydecyl)-3-methylimidazolium chloride,Methylimidazolium,Chloride,Decyl,Hydroxyl,749.9706182,1289.356017,20.24885281,1.915540829,0.1655,0.038848194,0.500934294,No
1-(2-hydroxydecyl)-3-methylimidazolium chloride,Ethylimidazolium,Chloride,Decyl,Hydroxyl,764.0721712,1301.22473,20.24885281,2.159766254,0.6484,0.041597074,0.500934294,No
carbonyl-1-octyl-3-methylimidazolium bromide,Imidazolium,Bromide,Octyl,Carbonyl,627.1159185,1377.283081,10.08363909,1.648721271,-0.3892,0.053998979,0.500797438,No
carbonyl-1-butyl-3-methylimidazolium bromide,Imidazolium,Bromide,Butyl,Carbonyl,580.5277855,1680.948219,14.1168897,2.745601015,-1.9496,0.042632298,0.500723096,No
1-(3-aminooctyl)-3-methylimidazolium chloride,Imidazolium,Chloride,Octyl,Amino,639.7436724,1272.677243,9.927209081,1.648721271,-0.0423,0.06145392,0.50048124,No
1-(3-aminooctyl)-3-methylimidazolium chloride,Methylimidazolium,Chloride,Octyl,Amino,747.3850754,1371.131583,17.71175777,1.915540829,0.372,0.052996984,0.50048124,No
1-(3-aminooctyl)-3-methylimidazolium chloride,Ethylimidazolium,Chloride,Octyl,Amino,761.4866284,1381.507831,17.71175777,2.159766254,0.8549,0.056747026,0.50048124,No
