Name,Cation,Anion,Alkyl Chain,Functional Group,Heat Capacity (J/mol·K),Density (kg/m³),Toxicity (IC50 in mM),Solubility (g/L),Hydrophobicity (logP),Viscosity (Pa·s),Pareto Score,In ILThermo
(3-aminodecyl)-tetrabutylphosphonium bis(trifluoromethanesulfonyl)imide,Tetrabutylphosphonium,Bis(trifluoromethanesulfonyl)imide,Decyl,Amino,1305.866211,1439.914081,5.810386349,1.665291195,11.5727,1.57699499,0.795077523,No
1-(3-aminodecyl)-3-methylimidazolium bis(trifluoromethanesulfonyl)imide,1-Butyl-3-methylimidazolium,Bis(trifluoromethanesulfonyl)imide,Decyl,Amino,1288.80879,1580.733491,2.874534306,1.915540829,6.77902,1.248812918,0.789480074,No
(2-hydroxydecyl)-tetrabutylphosphonium bis(trifluoromethanesulfonyl)imide,Tetrabutylphosphonium,Bis(trifluoromethanesulfonyl)imide,Decyl,Hydroxyl,1285.161839,1445.317012,8.469387998,1.665291195,10.586,1.027132777,0.788481574,No
(3-aminooctyl)-tetrabutylphosphonium bis(trifluoromethanesulfonyl)imide,Tetrabutylphosphonium,Bis(trifluoromethanesulfonyl)imide,Octyl,Amino,1282.576296,1492.369054,7.413428875,1.665291195,10.7925,1.401221884,0.787107957,No
carboxyl-1-octyl-3-methylimidazolium bis(trifluoromethanesulfonyl)imide,1-Octyl-3-methylimidazolium,Bis(trifluoromethanesulfonyl)imide,Octyl,Carboxyl,1303.850073,1576.722364,7.97106008,1.915540829,7.09802,1.587474814,0.785497894,No
(3-aminodecyl)-morpholinium bis(trifluoromethanesulfonyl)imide,Morpholinium,Bis(trifluoromethanesulfonyl)imide,Decyl,Amino,1197.89968,1396.976029,4.23433533,1,4.9893,0.873285068,0.78313353,No
carbonyl-1-nonyl-3-methylimidazolium bis(trifluoromethanesulfonyl)imide,1-Octyl-3-methylimidazolium,Bis(trifluoromethanesulfonyl)imide,Nonyl,Carbonyl,1280.136324,1560.655484,9.137688763,1.915540829,7.60242,1.051679346,0.781350124,No
1-(3-aminooctyl)-3-methylimidazolium bis(trifluoromethanesulfonyl)imide,1-Butyl-3-methylimidazolium,Bis(trifluoromethanesulfonyl)imide,Octyl,Amino,1265.518875,1665.162019,3.868928364,1.915540829,5.99882,1.109619245,0.780729593,No
(3-aminononyl)-tetrabutylphosphonium bis(trifluoromethanesulfonyl)imide,Tetrabutylphosphonium,Bis(trifluoromethanesulfonyl)imide,Nonyl,Amino,1294.217102,1465.124964,15.39789907,1.665291195,11.1826,1.486512661,0.780158283,No
(2-hydroxyoctyl)-tetrabutylphosphonium bis(trifluoromethanesulfonyl)imide,Tetrabutylphosphonium,Bis(trifluoromethanesulfonyl)imide,Octyl,Hydroxyl,1261.871924,1498.336603,10.52367717,1.665291195,9.8058,0.912647748,0.779913114,No
1-(3-aminohexyl)-3-methylimidazolium bis(trifluoromethanesulfonyl)imide,1-Octyl-3-methylimidazolium,Bis(trifluoromethanesulfonyl)imide,Hexyl,Amino,1298.625121,1753.15896,5.207315375,1.915540829,6.77902,1.248812918,0.779735029,No
1-(3-aminoheptyl)-3-methylimidazolium bis(trifluoromethanesulfonyl)imide,1-Octyl-3-methylimidazolium,Bis(trifluoromethanesulfonyl)imide,Heptyl,Amino,1310.265927,1704.252995,9.433226576,1.915540829,7.16912,1.324826735,0.778526385,No
(3-aminohexyl)-tetrabutylphosphonium bis(trifluoromethanesulfonyl)imide,Tetrabutylphosphonium,Bis(trifluoromethanesulfonyl)imide,Hexyl,Amino,1259.286381,1553.917579,9.458738952,1.665291195,10.0123,1.245040588,0.778145889,No
carbonyl-decyl-morpholinium bis(trifluoromethanesulfonyl)imide,Morpholinium,Bis(trifluoromethanesulfonyl)imide,Decyl,Carbonyl,1144.480162,1348.793782,3.871025314,1,4.6424,0.615966216,0.777986977,No
carbonyl-N-decyl-N-methylpiperidinium bis(trifluoromethanesulfonyl)imide,Piperidinium,Bis(trifluoromethanesulfonyl)imide,Decyl,Carbonyl,1100.456687,1214.657018,3.871025314,1,5.7961,0.564740196,0.777891151,No
1-(3-aminononyl)-3-methylimidazolium bis(trifluoromethanesulfonyl)imide,1-Butyl-3-methylimidazolium,Bis(trifluoromethanesulfonyl)imide,Nonyl,Amino,1277.159681,1620.813904,9.433226576,1.915540829,6.38892,1.177160502,0.777629814,No
carboxyl-decyl-morpholinium bis(trifluoromethanesulfonyl)imide,Morpholinium,Bis(trifluoromethanesulfonyl)imide,Decyl,Carboxyl,1179.834717,1338.781896,8.727091081,1,4.5281,0.986375084,0.777612725,No
N-(3-aminodecyl)-N-methylpyrrolidinium bis(trifluoromethanesulfonyl)imide,Pyrrolidinium,Bis(trifluoromethanesulfonyl)imide,Decyl,Amino,1154.28708,1378.75074,4.23433533,1,5.7529,0.717912336,0.777539198,No
N-(3-aminodecyl)-N-methylpyrrolidinium bis(trifluoromethanesulfonyl)imide,Piperidinium,Bis(trifluoromethanesulfonyl)imide,Decyl,Amino,1153.876206,1250.397854,4.23433533,1,6.143,0.800659464,0.777539198,No
carboxyl-1-octyl-3-methylimidazolium bis(trifluoromethanesulfonyl)imide,1-Butyl-3-methylimidazolium,Bis(trifluoromethanesulfonyl)imide,Octyl,Carboxyl,1247.453912,1573.613241,7.97106008,1.915540829,5.53762,1.253314429,0.777296855,No
carboxyl-N-decyl-N-methylpiperidinium bis(trifluoromethanesulfonyl)imide,Piperidinium,Bis(trifluoromethanesulfonyl)imide,Decyl,Carboxyl,1135.811243,1209.940809,8.727091081,1,5.6818,0.904344497,0.77726615,No
(2-hydroxydecyl)-morpholinium bis(trifluoromethanesulfonyl)imide,Morpholinium,Bis(trifluoromethanesulfonyl)imide,Decyl,Hydroxyl,1177.195308,1403.80831,6.326149529,1,4.0026,0.568790467,0.777147211,No
carbonyl-1-octyl-3-methylimidazolium bis(trifluoromethanesulfonyl)imide,1-Butyl-3-methylimidazolium,Bis(trifluoromethanesulfonyl)imide,Octyl,Carbonyl,1212.099357,1594.33952,3.553098715,1.915540829,5.65192,0.782663065,0.776620864,No
carbonyl-1-hexyl-3-methylimidazolium bis(trifluoromethanesulfonyl)imide,1-Octyl-3-methylimidazolium,Bis(trifluoromethanesulfonyl)imide,Hexyl,Carbonyl,1245.205603,1676.342243,4.867997011,1.915540829,6.43212,0.880842461,0.775948973,No
carboxyl-1-hexyl-3-methylimidazolium bis(trifluoromethanesulfonyl)imide,1-Octyl-3-methylimidazolium,Bis(trifluoromethanesulfonyl)imide,Hexyl,Carboxyl,1280.560158,1652.308248,10.09423368,1.915540829,6.31782,1.410533619,0.775766214,No
(3-aminooctyl)-morpholinium bis(trifluoromethanesulfonyl)imide,Morpholinium,Bis(trifluoromethanesulfonyl)imide,Octyl,Amino,1174.609765,1461.591841,5.531151768,1,4.2091,0.775948025,0.774952305,No
1-(2-hydroxyoctyl)-3-methylimidazolium bis(trifluoromethanesulfonyl)imide,1-Butyl-3-methylimidazolium,Bis(trifluoromethanesulfonyl)imide,Octyl,Hydroxyl,1244.814503,1673.658887,5.775823424,1.915540829,5.01212,0.722720303,0.774904707,No
1-(3-aminodecyl)-3-methylimidazolium bis(trifluoromethanesulfonyl)imide,Imidazolium,Bis(trifluoromethanesulfonyl)imide,Decyl,Amino,1159.413527,1528.570299,1.50809843,1.648721271,4.7932,1.086303945,0.774461116,No
1-(3-aminodecyl)-3-methylimidazolium bis(trifluoromethanesulfonyl)imide,Methylimidazolium,Bis(trifluoromethanesulfonyl)imide,Decyl,Amino,1267.05493,1577.719439,2.874534306,1.915540829,5.2075,0.936813022,0.774461116,No
1-(3-aminodecyl)-3-methylimidazolium bis(trifluoromethanesulfonyl)imide,Ethylimidazolium,Bis(trifluoromethanesulfonyl)imide,Decyl,Amino,1281.156483,1578.543735,2.874534306,2.159766254,5.6904,1.003101483,0.774461116,No
1-(3-aminodecyl)-3-methylimidazolium bis(trifluoromethanesulfonyl)imide,1-Octyl-3-methylimidazolium,Bis(trifluoromethanesulfonyl)imide,Decyl,Amino,1345.204951,1583.259413,2.874534306,1.915540829,8.33942,1.581773105,0.774461116,No
1-(3-aminononyl)-3-methylimidazolium bis(trifluoromethanesulfonyl)imide,Methylimidazolium,Bis(trifluoromethanesulfonyl)imide,Nonyl,Amino,1255.405821,1621.966632,9.433226576,1.915540829,4.8174,0.883062043,0.774373975,No
carbonyl-1-heptyl-3-methylimidazolium bis(trifluoromethanesulfonyl)imide,1-Octyl-3-methylimidazolium,Bis(trifluoromethanesulfonyl)imide,Heptyl,Carbonyl,1256.846409,1634.131001,9.137688763,1.915540829,6.82222,0.934458336,0.774366539,No
carboxyl-1-octyl-3-methylimidazolium bis(trifluoromethanesulfonyl)imide,Methylimidazolium,Bis(trifluoromethanesulfonyl)imide,Octyl,Carboxyl,1225.700052,1569.901678,7.97106008,1.915540829,3.9661,0.940189887,0.774277255,No
(3-aminoheptyl)-tetrabutylphosphonium bis(trifluoromethanesulfonyl)imide,Tetrabutylphosphonium,Bis(trifluoromethanesulfonyl)imide,Heptyl,Amino,1270.927187,1521.853384,15.39789907,1.665291195,10.4024,1.320824787,0.773985905,No
1-octyl-3-methylimidazolium bis(trifluoromethanesulfonyl)imide,1-Octyl-3-methylimidazolium,Bis(trifluoromethanesulfonyl)imide,Octyl,,1208.541284,1654.012732,3.553098715,1.915540829,7.39722,0.663011588,0.773237441,Yes
carbonyl-1-nonyl-3-methylimidazolium bis(trifluoromethanesulfonyl)imide,1-Butyl-3-methylimidazolium,Bis(trifluoromethanesulfonyl)imide,Nonyl,Carbonyl,1223.740163,1556.100866,9.137688763,1.915540829,6.04202,0.830302873,0.773204482,No
(3-aminodecyl)trimethylammonium bis(trifluoromethanesulfonyl)imide,Diethylmethylammonium,Bis(trifluoromethanesulfonyl)imide,Decyl,Amino,1141.894634,1382.79898,6.169099782,1.733253018,6.1644,0.750465059,0.773077811,No
carboxyl-1-decyl-3-methylimidazolium bis(trifluoromethanesulfonyl)imide,Imidazolium,Bis(trifluoromethanesulfonyl)imide,Decyl,Carboxyl,1141.348564,1449.428151,3.677143994,1.648721271,4.332,1.226979808,0.772848761,No
carboxyl-1-decyl-3-methylimidazolium bis(trifluoromethanesulfonyl)imide,Methylimidazolium,Bis(trifluoromethanesulfonyl)imide,Decyl,Carboxyl,1248.989967,1495.366041,6.294464819,1.915540829,4.7463,1.058129878,0.772848761,No
carboxyl-1-decyl-3-methylimidazolium bis(trifluoromethanesulfonyl)imide,Ethylimidazolium,Bis(trifluoromethanesulfonyl)imide,Decyl,Carboxyl,1263.09152,1497.958592,6.294464819,2.159766254,5.2292,1.133002666,0.772848761,No
carboxyl-1-decyl-3-methylimidazolium bis(trifluoromethanesulfonyl)imide,1-Butyl-3-methylimidazolium,Bis(trifluoromethanesulfonyl)imide,Decyl,Carboxyl,1270.743827,1505.032911,6.294464819,1.915540829,6.31782,1.410533619,0.772848761,No
carboxyl-1-decyl-3-methylimidazolium bis(trifluoromethanesulfonyl)imide,1-Octyl-3-methylimidazolium,Bis(trifluoromethanesulfonyl)imide,Decyl,Carboxyl,1327.139988,1513.220361,6.294464819,1.915540829,7.87822,1.786611996,0.772848761,No
