Name,Cation,Anion,Alkyl Chain,Functional Group,Heat Capacity (J/mol·K),Density (kg/m³),Toxicity (IC50 in mM),Solubility (g/L),Hydrophobicity (logP),Viscosity (Pa·s),Pareto Score,In ILThermo
(3-aminomethyl)trimethylammonium chloride,Ammonium,Chloride,Methyl,Amino,465.0122387,1268.500251,29.52975181,1.733253018,-1.8217,0.028602225,0.461996084,No
(3-aminopentyl)trimethylammonium chloride,Ammonium,Chloride,Pentyl,Amino,508.6352383,1025.246727,31.09614634,1.491824698,-0.2613,0.040038341,0.4744478,No
(3-aminobutyl)trimethylammonium chloride,Ammonium,Chloride,Butyl,Amino,496.9861293,1061.133224,27.75517323,2.484322533,-0.6514,0.037741084,0.475771327,No
(2-hydroxypentyl)trimethylammonium chloride,Ammonium,Chloride,Pentyl,Hydroxyl,487.9308661,1040.797757,38.00041349,1.491824698,-1.248,0.026077884,0.458398286,No
(2-hydroxybutyl)trimethylammonium chloride,Ammonium,Chloride,Butyl,Hydroxyl,476.2817571,1079.344276,34.32804456,2.484322533,-1.6381,0.024581628,0.460118199,No
carboxyl-hexyltrimethylammonium chloride,Ammonium,Chloride,Hexyl,Carboxyl,502.2193838,953.1191733,62.71456734,1.491824698,-0.3324,0.047975977,0.433046482,No
propyltrimethylammonium chloride,Ammonium,Chloride,Propyl,,371.9715709,1038.067174,63.45904697,2.203396426,-1.2035,0.016782359,0.424854695,No
hexyltrimethylammonium chloride,Ammonium,Chloride,Hexyl,,406.9105949,945.6331356,50.5162176,1.491824698,-0.0332,0.020037249,0.451435326,No
carboxyl-butyltrimethylammonium chloride,Ammonium,Chloride,Butyl,Carboxyl,478.9211658,991.3345038,68.3151381,2.484322533,-1.1126,0.042628537,0.419806981,No
(3-aminohexyl)trimethylammonium chloride,Ammonium,Chloride,Hexyl,Amino,520.2843473,997.5515283,24.77315461,1.491824698,0.1288,0.042475429,0.485952885,No
(3-aminoethyl)trimethylammonium chloride,Ammonium,Chloride,Ethyl,Amino,472.8585246,1166.421115,28.13959448,1.954237321,-1.4316,0.031898939,0.468213634,No
(2-hydroxyethyl)trimethylammonium chloride,Ammonium,Chloride,Ethyl,Hydroxyl,452.1541524,1193.799589,34.77127023,1.954237321,-2.4183,0.020776506,0.452325321,No
carbonyl-tetramethylammonium chloride,Ammonium,Chloride,Methyl,Carbonyl,411.5927198,1090.502225,59.91736206,1.733253018,-2.1686,0.020174402,0.42220756,No
(2-hydroxymethyl)trimethylammonium chloride,Ammonium,Chloride,Methyl,Hydroxyl,444.3078665,1305.024782,36.29406675,1.733253018,-2.8084,0.018629281,0.445774528,No
carbonyl-butyltrimethylammonium chloride,Ammonium,Chloride,Butyl,Carbonyl,443.5666104,983.2011861,56.6189988,2.484322533,-0.9983,0.02662044,0.436304178,No
(3-aminopropyl)trimethylammonium chloride,Ammonium,Chloride,Propyl,Amino,485.3453233,1109.572565,31.09614634,2.203396426,-1.0415,0.035575636,0.467864446,No
(3-aminoheptyl)trimethylammonium chloride,Ammonium,Chloride,Heptyl,Amino,531.9251533,975.473214,31.09614634,1.491824698,0.5189,0.04506086,0.480499795,No
carboxyl-propyltrimethylammonium chloride,Ammonium,Chloride,Propyl,Carboxyl,467.2803598,1017.74551,74.4158541,2.203396426,-1.5027,0.040182664,0.40859682,No
tetramethylammonium chloride,Ammonium,Chloride,Methyl,,351.6384863,1175.993954,59.91736206,1.733253018,-1.9837,0.01349274,0.421979052,No
carbonyl-propyltrimethylammonium chloride,Ammonium,Chloride,Propyl,Carbonyl,431.9258044,1011.569797,63.45904697,2.203396426,-1.3884,0.025093054,0.424074698,No
